ProductID,ProductName,SupplierName,Phone,UnitsInStock,UnitsOnOrder,Discontinued
2,Chang,Charlotte Cooper,(171) 555-2222,17,40,0
3,Aniseed Syrup,Charlotte Cooper,(171) 555-2222,13,70,0
11,Queso Cabrales,Antonio del Valle Saavedra,(98) 598 76 54,22,30,0
21,Sir Rodney's Scones,Peter Wilson,(161) 555-4448,3,40,0
31,Gorgonzola Telino,Elio Rossi,(0544) 60323,0,70,0
32,Mascarpone Fabioli,Elio Rossi,(0544) 60323,9,40,0
37,Gravad lax,Michael Björn,08-123 45 67,11,50,0
45,Rogede sild,Niels Petersen,43844108,5,70,0
48,Chocolade,Dirk Luchte,(12345) 1212,15,70,0
49,Maxilaku,Anne Heikkonen,(953) 10956,10,60,0
64,Wimmers gute Semmelknödel,Martin Bein,(069) 992755,22,80,0
66,Louisiana Hot Spiced Okra,Shelley Burke,(100) 555-4822,4,100,0
68,Scottish Longbreads,Peter Wilson,(161) 555-4448,6,10,0
74,Longlife Tofu,Yoshi Nagase,(03) 3555-5011,4,20,0
